GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22000655,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,78,0.462,11,32,0.344,14,17,0.824,5,33,38,17,5,9,14,22,97,-3
22000643,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,96,0.479,12,33,0.364,9,10,0.9,5,36,41,29,6,4,9,11,113,-7
22000435,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,88,0.466,7,18,0.389,27,33,0.818,17,34,51,19,5,4,13,25,116,6
22000621,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,89,0.427,8,31,0.258,22,30,0.733,13,33,46,19,5,6,9,8,106,7
22000428,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,47,83,0.566,12,25,0.48,3,5,0.6,10,35,45,29,3,9,21,23,109,10
22000595,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,85,0.424,4,21,0.19,23,31,0.742,10,22,32,20,8,10,9,13,99,-35
22000583,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,89,0.449,10,29,0.345,14,18,0.778,7,38,45,24,8,5,9,15,104,27
22000567,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,83,0.458,12,28,0.429,16,20,0.8,6,24,30,18,10,2,9,19,104,-11
22000556,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,85,0.471,10,31,0.323,12,12,1.0,6,40,46,23,9,5,19,24,102,-5
22000541,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,89,0.483,18,42,0.429,15,21,0.714,9,36,45,31,12,4,8,14,119,26
22000534,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,44,97,0.454,15,35,0.429,10,15,0.667,9,39,48,30,2,3,9,16,113,-11
22000514,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,86,0.477,12,32,0.375,23,28,0.821,8,30,38,24,7,5,8,26,117,3
22000495,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,86,0.465,9,25,0.36,10,15,0.667,6,38,44,20,10,4,12,13,99,-3
22000414,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,96,0.5,10,34,0.294,16,19,0.842,10,33,43,31,13,4,9,13,122,12
22000397,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,85,0.529,12,31,0.387,23,28,0.821,8,38,46,27,6,6,13,25,125,11
22000378,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,32,86,0.372,8,24,0.333,19,21,0.905,8,37,45,20,2,5,14,16,91,-23
22000371,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,96,0.406,11,31,0.355,16,19,0.842,10,36,46,24,12,6,10,16,105,5
22000358,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,87,0.425,8,25,0.32,29,36,0.806,7,37,44,22,6,7,10,18,111,5
22000334,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,96,0.448,7,26,0.269,18,24,0.75,7,38,45,28,5,6,7,13,111,3
22000320,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,89,0.416,13,37,0.351,15,22,0.682,10,32,42,28,8,7,14,13,102,-31
22000304,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,83,0.47,13,29,0.448,21,26,0.808,8,30,38,25,7,5,13,16,112,-17
22000296,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,81,0.543,10,23,0.435,21,26,0.808,9,32,41,29,8,1,12,18,119,10
22000280,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,82,0.561,8,28,0.286,10,16,0.625,9,37,46,22,5,4,19,16,110,4
22000253,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,96,0.5,15,31,0.484,10,11,0.909,5,39,44,27,11,5,8,14,121,20
22000237,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,89,0.461,12,28,0.429,23,30,0.767,9,40,49,21,3,5,7,18,117,-5
22000223,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,35,94,0.372,4,33,0.121,25,31,0.806,12,31,43,17,7,2,10,15,99,-22
22000207,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,90,0.533,15,33,0.455,14,16,0.875,12,36,48,33,6,6,12,17,125,21
22000189,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,100,0.4,5,24,0.208,18,23,0.783,17,41,58,19,10,7,12,21,103,12
22000176,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,92,0.457,9,31,0.29,12,16,0.75,10,31,41,26,10,4,10,17,105,-4
22000162,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,95,0.432,10,35,0.286,20,22,0.909,7,39,46,26,8,5,4,20,112,10
22000147,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,94,0.383,8,30,0.267,8,14,0.571,9,36,45,21,4,5,10,16,88,-8
22000138,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,44,101,0.436,13,32,0.406,24,29,0.828,12,36,48,22,8,3,6,19,125,3
22000121,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,92,0.467,16,35,0.457,16,17,0.941,6,34,40,28,4,3,6,15,118,9
22000105,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,96,0.458,20,40,0.5,8,11,0.727,11,33,44,23,9,3,10,13,116,3
22000089,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,105,0.419,6,19,0.316,15,21,0.714,14,31,45,23,13,4,7,16,109,-21
22000075,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,85,0.424,13,34,0.382,18,26,0.692,8,37,45,23,3,8,13,20,103,-6
22000060,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,87,0.46,10,24,0.417,17,23,0.739,7,32,39,25,8,4,10,18,107,-14
22000034,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,89,0.427,11,36,0.306,8,8,1.0,4,43,47,26,5,10,15,23,95,-3
22000027,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,47,100,0.47,14,34,0.412,11,16,0.688,14,39,53,36,4,3,16,20,119,5
